        WHEN        |        WHO        |        WHAT        |        RESULT        
2013-05-29 20:58:11  |  Player0-Ricardo  |  hand  |  7d-3d / As-8s / 
2013-05-29 20:58:16  |  Player1-Joao  |  play  |  3h
2013-05-29 20:58:16  |  Player1-Joao  |  hand  |  5s-Ks-Js-9s / 
2013-05-29 20:58:19  |  Player2-Rita  |  play  |  8c
2013-05-29 20:58:19  |  Player2-Rita  |  hand  |  Qc / Jd-4d / 3s / 
2013-05-29 20:58:23  |  Player3-Lima  |  play  |  Jh
2013-05-29 20:58:23  |  Player3-Lima  |  hand  |  Ad / 2s-4s / 
2013-05-29 20:58:26  |  Player0-Ricardo  |  play  |  7d
2013-05-29 20:58:26  |  Player0-Ricardo  |  hand  |  3d / As-8s / 
2013-05-29 20:58:29  |  Player1-Joao  |  play  |  5s
2013-05-29 20:58:29  |  Player1-Joao  |  hand  |  Ks-Js-9s / 
2013-05-29 20:58:32  |  Player2-Rita  |  play  |  Qc
2013-05-29 20:58:32  |  Player2-Rita  |  hand  |  Jd-4d / 3s / 
2013-05-29 20:58:35  |  Player3-Lima  |  play  |  Ad
2013-05-29 20:58:35  |  Player3-Lima  |  hand  |  2s-4s / 
2013-05-29 20:58:38  |  Player0-Ricardo  |  play  |  8s
2013-05-29 20:58:38  |  Player0-Ricardo  |  hand  |  3d / As / 
2013-05-29 20:58:41  |  Player1-Joao  |  play  |  9s
2013-05-29 20:58:41  |  Player1-Joao  |  hand  |  Ks-Js / 
2013-05-29 20:58:43  |  Player2-Rita  |  play  |  3s
2013-05-29 20:58:43  |  Player2-Rita  |  hand  |  Jd-4d / 
2013-05-29 20:58:48  |  Player3-Lima  |  play  |  4s
2013-05-29 20:58:48  |  Player3-Lima  |  hand  |  2s / 
2013-05-29 20:58:51  |  Player0-Ricardo  |  play  |  As
2013-05-29 20:58:51  |  Player0-Ricardo  |  hand  |  3d / 
2013-05-29 20:58:54  |  Player1-Joao  |  play  |  Js
2013-05-29 20:58:54  |  Player1-Joao  |  hand  |  Ks / 
2013-05-29 20:58:57  |  Player2-Rita  |  play  |  4d
2013-05-29 20:58:57  |  Player2-Rita  |  hand  |  Jd / 
2013-05-29 20:59:00  |  Player3-Lima  |  play  |  2s
2013-05-29 20:59:00  |  Player3-Lima  |  hand  |  
2013-05-29 20:59:03  |  Player0-Ricardo  |  play  |  3d
2013-05-29 20:59:03  |  Player0-Ricardo  |  hand  |  
2013-05-29 20:59:07  |  Player1-Joao  |  play  |  Ks
2013-05-29 20:59:07  |  Player1-Joao  |  hand  |  
2013-05-29 20:59:14  |  Player2-Rita  |  play  |  Jd
2013-05-29 20:59:14  |  Player2-Rita  |  hand  |  
